DateKey;CalendarYear;CalendarHalfYearLabel;CalendarQuarterLabel;CalendarMonth;CalendarMonthLabel;CalendarWeekLabel;CalendarDayOfWeekLabel;IsWorkDay;Start of Week;End of Week
2008-04-28 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 18";"Monday";"WorkDay";2008-04-27 00:00:00,000;2008-05-04 00:00:00,000
2008-04-29 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 18";"Tuesday";"WorkDay";2008-04-27 00:00:00,000;2008-05-04 00:00:00,000
2008-04-30 00:00:00,000;2008;"H1";"Q2";200804;"April";"Week 18";"Wednesday";"WorkDay";2008-04-27 00:00:00,000;2008-05-04 00:00:00,000
2008-05-01 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 18";"Thursday";"WorkDay";2008-04-27 00:00:00,000;2008-05-04 00:00:00,000
2008-05-02 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 18";"Friday";"WorkDay";2008-04-27 00:00:00,000;2008-05-04 00:00:00,000
2008-05-05 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 19";"Monday";"WorkDay";2008-05-04 00:00:00,000;2008-05-11 00:00:00,000
2008-05-06 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 19";"Tuesday";"WorkDay";2008-05-04 00:00:00,000;2008-05-11 00:00:00,000
2008-05-07 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 19";"Wednesday";"WorkDay";2008-05-04 00:00:00,000;2008-05-11 00:00:00,000
2008-05-08 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 19";"Thursday";"WorkDay";2008-05-04 00:00:00,000;2008-05-11 00:00:00,000
2008-05-09 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 19";"Friday";"WorkDay";2008-05-04 00:00:00,000;2008-05-11 00:00:00,000
2008-05-12 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 20";"Monday";"WorkDay";2008-05-11 00:00:00,000;2008-05-18 00:00:00,000
2008-05-13 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 20";"Tuesday";"WorkDay";2008-05-11 00:00:00,000;2008-05-18 00:00:00,000
2008-05-14 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 20";"Wednesday";"WorkDay";2008-05-11 00:00:00,000;2008-05-18 00:00:00,000
2008-05-15 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 20";"Thursday";"WorkDay";2008-05-11 00:00:00,000;2008-05-18 00:00:00,000
2008-05-16 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 20";"Friday";"WorkDay";2008-05-11 00:00:00,000;2008-05-18 00:00:00,000
2008-05-19 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 21";"Monday";"WorkDay";2008-05-18 00:00:00,000;2008-05-25 00:00:00,000
2008-05-20 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 21";"Tuesday";"WorkDay";2008-05-18 00:00:00,000;2008-05-25 00:00:00,000
2008-05-21 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 21";"Wednesday";"WorkDay";2008-05-18 00:00:00,000;2008-05-25 00:00:00,000
2008-05-22 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 21";"Thursday";"WorkDay";2008-05-18 00:00:00,000;2008-05-25 00:00:00,000
2008-05-23 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 21";"Friday";"WorkDay";2008-05-18 00:00:00,000;2008-05-25 00:00:00,000
2008-05-26 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 22";"Monday";"WorkDay";2008-05-25 00:00:00,000;2008-06-01 00:00:00,000
2008-05-27 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 22";"Tuesday";"WorkDay";2008-05-25 00:00:00,000;2008-06-01 00:00:00,000
2008-05-28 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 22";"Wednesday";"WorkDay";2008-05-25 00:00:00,000;2008-06-01 00:00:00,000
2008-05-29 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 22";"Thursday";"WorkDay";2008-05-25 00:00:00,000;2008-06-01 00:00:00,000
2008-05-30 00:00:00,000;2008;"H1";"Q2";200805;"May";"Week 22";"Friday";"WorkDay";2008-05-25 00:00:00,000;2008-06-01 00:00:00,000
2008-06-02 00:00:00,000;2008;"H1";"Q2";200806;"June";"Week 23";"Monday";"WorkDay";2008-06-01 00:00:00,000;2008-06-08 00:00:00,000
2008-06-03 00:00:00,000;2008;"H1";"Q2";200806;"June";"Week 23";"Tuesday";"WorkDay";2008-06-01 00:00:00,000;2008-06-08 00:00:00,000
2008-06-04 00:00:00,000;2008;"H1";"Q2";200806;"June";"Week 23";"Wednesday";"WorkDay";2008-06-01 00:00:00,000;2008-06-08 00:00:00,000
2008-06-05 00:00:00,000;2008;"H1";"Q2";200806;"June";"Week 23";"Thursday";"WorkDay";2008-06-01 00:00:00,000;2008-06-08 00:00:00,000
2008-06-06 00:00:00,000;2008;"H1";"Q2";200806;"June";"Week 23";"Friday";"WorkDay";2008-06-01 00:00:00,000;2008-06-08 00:00:00,000
2008-06-09 00:00:00,000;2008;"H1";"Q2";200806;"June";"Week 24";"Monday";"WorkDay";2008-06-08 00:00:00,000;2008-06-15 00:00:00,000
2008-06-10 00:00:00,000;2008;"H1";"Q2";200806;"June";"Week 24";"Tuesday";"WorkDay";2008-06-08 00:00:00,000;2008-06-15 00:00:00,000
2008-06-11 00:00:00,000;2008;"H1";"Q2";200806;"June";"Week 24";"Wednesday";"WorkDay";2008-06-08 00:00:00,000;2008-06-15 00:00:00,000
2008-06-12 00:00:00,000;2008;"H1";"Q2";200806;"June";"Week 24";"Thursday";"WorkDay";2008-06-08 00:00:00,000;2008-06-15 00:00:00,000
2008-06-13 00:00:00,000;2008;"H1";"Q2";200806;"June";"Week 24";"Friday";"WorkDay";2008-06-08 00:00:00,000;2008-06-15 00:00:00,000
2008-06-16 00:00:00,000;2008;"H1";"Q2";200806;"June";"Week 25";"Monday";"WorkDay";2008-06-15 00:00:00,000;2008-06-22 00:00:00,000
2008-06-17 00:00:00,000;2008;"H1";"Q2";200806;"June";"Week 25";"Tuesday";"WorkDay";2008-06-15 00:00:00,000;2008-06-22 00:00:00,000
2008-06-18 00:00:00,000;2008;"H1";"Q2";200806;"June";"Week 25";"Wednesday";"WorkDay";2008-06-15 00:00:00,000;2008-06-22 00:00:00,000
2008-06-19 00:00:00,000;2008;"H1";"Q2";200806;"June";"Week 25";"Thursday";"WorkDay";2008-06-15 00:00:00,000;2008-06-22 00:00:00,000
2008-06-20 00:00:00,000;2008;"H1";"Q2";200806;"June";"Week 25";"Friday";"WorkDay";2008-06-15 00:00:00,000;2008-06-22 00:00:00,000
2008-06-23 00:00:00,000;2008;"H1";"Q2";200806;"June";"Week 26";"Monday";"WorkDay";2008-06-22 00:00:00,000;2008-06-29 00:00:00,000
2008-06-24 00:00:00,000;2008;"H1";"Q2";200806;"June";"Week 26";"Tuesday";"WorkDay";2008-06-22 00:00:00,000;2008-06-29 00:00:00,000
2008-06-25 00:00:00,000;2008;"H1";"Q2";200806;"June";"Week 26";"Wednesday";"WorkDay";2008-06-22 00:00:00,000;2008-06-29 00:00:00,000
2008-06-26 00:00:00,000;2008;"H1";"Q2";200806;"June";"Week 26";"Thursday";"WorkDay";2008-06-22 00:00:00,000;2008-06-29 00:00:00,000
2008-06-27 00:00:00,000;2008;"H1";"Q2";200806;"June";"Week 26";"Friday";"WorkDay";2008-06-22 00:00:00,000;2008-06-29 00:00:00,000
2008-06-30 00:00:00,000;2008;"H1";"Q2";200806;"June";"Week 27";"Monday";"WorkDay";2008-06-29 00:00:00,000;2008-07-06 00:00:00,000
2008-07-01 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 27";"Tuesday";"WorkDay";2008-06-29 00:00:00,000;2008-07-06 00:00:00,000
2008-07-02 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 27";"Wednesday";"WorkDay";2008-06-29 00:00:00,000;2008-07-06 00:00:00,000
2008-07-03 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 27";"Thursday";"WorkDay";2008-06-29 00:00:00,000;2008-07-06 00:00:00,000
2008-07-04 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 27";"Friday";"WorkDay";2008-06-29 00:00:00,000;2008-07-06 00:00:00,000
2008-07-07 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 28";"Monday";"WorkDay";2008-07-06 00:00:00,000;2008-07-13 00:00:00,000
